UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
E07,SF,94110.0,B06,07,5451,3,3,False,,1,ENGINE,2.0,6.0,9.0,Mission,2.6833334
M07,SF,94110.0,B06,07,5451,3,3,True,,1,MEDIC,1.0,6.0,9.0,Mission,2.6666667
91,SF,94103.0,B03,01,2212,3,3,False,,1,MEDIC,1.0,3.0,6.0,South of Market,5.45
E31,SF,94118.0,B07,31,7112,3,3,False,,1,ENGINE,1.0,7.0,1.0,Lone Mountain/USF,2.1833334
T01,SF,94103.0,B03,01,2252,3,3,False,,1,TRUCK,2.0,3.0,6.0,South of Market,2.8333333
M12,SF,94117.0,B05,12,5151,2,2,True,,1,MEDIC,1.0,5.0,5.0,Haight Ashbury,7.6
E14,SF,94121.0,B07,14,7176,3,3,False,,1,ENGINE,1.0,7.0,1.0,Outer Richmond,2.35
M15,SF,94132.0,B09,33,8412,3,3,False,,1,MEDIC,3.0,9.0,7.0,Oceanview/Merced/Ingleside,6.133333
RC3,SF,94110.0,B10,07,5427,3,3,True,,1,RESCUE CAPTAIN,13.0,10.0,10.0,Potrero Hill,5.1833334
M03,SF,94102.0,B03,01,1365,3,3,True,,1,MEDIC,1.0,3.0,6.0,Tenderloin,1.0166667
B01,SF,94104.0,B01,13,1165,3,3,False,,1,CHIEF,1.0,1.0,3.0,Financial District/South Beach,1.55
RC1,SF,94122.0,B08,18,7515,3,3,True,,1,RESCUE CAPTAIN,5.0,8.0,4.0,Sunset/Parkside,2.2166667
E07,SF,94110.0,B06,07,0545,3,3,False,,1,ENGINE,2.0,6.0,9.0,Mission,3.5166667
M36,SF,94114.0,B05,06,5415,3,3,True,,1,MEDIC,2.0,5.0,8.0,Castro/Upper Market,1.2666667
E01,SF,94103.0,B03,01,2253,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,3.2
E43,SF,94134.0,B09,43,6241,3,3,True,,1,ENGINE,2.0,9.0,10.0,Visitacion Valley,3.3333333
E34,SF,94121.0,B07,34,7314,3,3,False,,1,ENGINE,1.0,7.0,1.0,Outer Richmond,2.45
B01,SF,94133.0,B01,13,1246,3,3,False,,1,CHIEF,2.0,1.0,3.0,Chinatown,1.15
E01,SF,94103.0,B03,01,2251,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,2.35
B02,SF,94102.0,B02,36,1647,3,3,False,,1,CHIEF,1.0,2.0,6.0,Tenderloin,0.7
M17,SF,94124.0,B10,17,6514,1,1,True,,1,MEDIC,1.0,10.0,10.0,Bayview Hunters Point,3.4666667
E01,SF,94103.0,B03,01,2314,3,3,False,,1,ENGINE,1.0,2.0,6.0,South of Market,3.0333333
E07,SF,94110.0,B06,07,5456,3,3,False,,1,ENGINE,1.0,6.0,9.0,Mission,3.1
M43,SF,94112.0,B09,43,6163,3,3,True,,1,MEDIC,3.0,9.0,11.0,Excelsior,4.3333335
E26,SF,94131.0,B09,26,8261,3,3,False,,1,ENGINE,2.0,9.0,8.0,West of Twin Peaks,6.9166665
T02,SF,94109.0,B04,41,1635,3,3,False,,1,TRUCK,2.0,4.0,3.0,Nob Hill,3.9666667
RS1,SF,94102.0,B02,01,1551,3,3,False,,1,RESCUE SQUAD,2.0,2.0,6.0,Tenderloin,1.9333333
T13,SF,94115.0,B04,10,4266,3,3,False,,1,TRUCK,3.0,4.0,2.0,Pacific Heights,2.5833333
M12,SF,94122.0,B05,12,7324,2,2,True,,1,MEDIC,1.0,5.0,5.0,Inner Sunset,3.1333334
91,SF,94110.0,B06,07,5456,E,E,False,,1,MEDIC,2.0,6.0,8.0,Mission,5.2
M41,SF,94109.0,B04,41,1562,3,3,True,,1,MEDIC,2.0,4.0,3.0,Nob Hill,2.0
E40,SF,94116.0,B08,40,7361,3,3,True,,1,ENGINE,1.0,8.0,7.0,West of Twin Peaks,2.2
RC4,SF,94124.0,B10,17,6647,3,3,False,,1,RESCUE CAPTAIN,4.0,10.0,10.0,Bayview Hunters Point,3.8833334
RC3,SF,94114.0,B06,11,5545,3,3,True,,1,RESCUE CAPTAIN,2.0,6.0,8.0,Noe Valley,4.35
B02,SF,94108.0,B01,01,1324,3,3,False,,1,CHIEF,2.0,1.0,3.0,Financial District/South Beach,1.6333333
E28,SF,94133.0,B01,28,1525,3,3,False,,1,ENGINE,1.0,1.0,3.0,North Beach,4.516667
B05,SF,94117.0,B05,21,4463,3,3,False,,1,CHIEF,1.0,5.0,5.0,Lone Mountain/USF,1.6166667
T06,SF,94103.0,B02,07,5247,3,3,False,,1,TRUCK,3.0,2.0,9.0,Mission,6.35
T02,SF,94108.0,B01,01,1324,3,3,False,,1,TRUCK,3.0,1.0,3.0,Financial District/South Beach,1.1666666
T09,SF,94110.0,B06,32,5575,3,3,True,,1,TRUCK,2.0,6.0,9.0,Bernal Heights,1.9833333
91,SF,94102.0,B02,36,0381,3,3,False,,1,MEDIC,1.0,2.0,6.0,Tenderloin,7.983333
M29,SF,94110.0,B06,09,5622,3,3,True,,1,MEDIC,3.0,6.0,9.0,Mission,4.483333
M08,SF,94110.0,B02,07,5245,3,3,True,,1,MEDIC,2.0,2.0,9.0,Mission,2.8666666
M01,SF,94102.0,B02,01,1546,3,3,True,,1,MEDIC,1.0,2.0,6.0,Tenderloin,4.2833333
E33,SF,94112.0,B09,15,8456,3,3,False,,1,ENGINE,2.0,9.0,7.0,Oceanview/Merced/Ingleside,2.15
M36,SF,94110.0,B02,07,5424,1,1,True,,1,MEDIC,1.0,6.0,9.0,Mission,2.9
E03,SF,94102.0,B03,03,1461,3,3,True,,1,ENGINE,1.0,2.0,6.0,Tenderloin,3.8166666
FB1,SF,94158.0,B03,08,0946,3,3,False,,1,SUPPORT,3.0,,6.0,,1.5833334
E11,SF,94110.0,B06,11,5512,3,3,False,,1,ENGINE,1.0,6.0,8.0,Mission,2.25
E41,SF,94123.0,B04,41,3151,3,3,False,,1,ENGINE,2.0,4.0,2.0,Marina,2.05
E41,SF,94109.0,B04,03,3223,3,3,False,,1,ENGINE,4.0,4.0,2.0,Western Addition,1.7166667
B01,SF,94108.0,B01,41,1414,3,3,False,,1,CHIEF,3.0,1.0,3.0,Nob Hill,2.7666667
M36,SF,94110.0,B02,07,5237,2,2,True,,1,MEDIC,1.0,2.0,9.0,Mission,13.55
E32,SF,94131.0,B06,11,5563,3,3,False,,1,ENGINE,1.0,6.0,8.0,Noe Valley,2.9333334
E01,SF,94102.0,B03,01,1453,3,3,False,,1,ENGINE,1.0,3.0,6.0,Tenderloin,3.85
E21,SF,94117.0,B05,21,4142,3,3,False,,1,ENGINE,1.0,5.0,5.0,Haight Ashbury,3.0166667
T03,SF,94109.0,B04,41,1562,3,3,False,,1,TRUCK,2.0,4.0,3.0,Nob Hill,2.7666667
E21,SF,94109.0,B04,38,3324,3,3,False,,1,ENGINE,4.0,4.0,5.0,Japantown,4.45
M36,SF,94103.0,B02,36,5121,1,1,True,,1,MEDIC,1.0,2.0,6.0,Mission,3.7666667
E31,SF,94118.0,B07,31,7123,3,3,False,,1,ENGINE,1.0,7.0,1.0,Inner Richmond,2.6166666
E14,SF,94121.0,B07,14,7172,3,3,False,,1,ENGINE,2.0,7.0,1.0,Outer Richmond,5.15
RS1,SF,94105.0,B03,01,2146,3,3,True,,1,RESCUE SQUAD,2.0,3.0,6.0,Financial District/South Beach,13.583333
E28,SF,94133.0,B01,28,1423,3,3,False,,1,ENGINE,1.0,1.0,3.0,Russian Hill,1.9666667
